"Average weekly BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/CNY","","","","","","","","",""
"2014-07-13","6.1677",,,,,,,,,
"2014-07-06","6.1671",,,,,,,,,
"2014-06-29","6.1583",,,,,,,,,
"2014-06-22","6.1588",,,,,,,,,
"2014-06-15","6.1461",,,,,,,,,
"2014-06-08","6.1653",,,,,,,,,
"2014-06-01","6.1703",,,,,,,,,
"2014-05-25","6.1667",,,,,,,,,
"2014-05-18","6.1648",,,,,,,,,
"2014-05-11","6.1541",,,,,,,,,
"2014-05-04","6.1609",,,,,,,,,
"2014-04-27","6.1729",,,,,,,,,
"2014-04-20","6.1712",,,,,,,,,
"2014-04-13","6.1655",,,,,,,,,
"2014-04-06","6.1700",,,,,,,,,
"2014-03-30","6.1553",,,,,,,,,
"2014-03-23","6.1506",,,,,,,,,
"2014-03-16","6.1388",,,,,,,,,
"2014-03-09","6.1251",,,,,,,,,
"2014-03-02","6.1256",,,,,,,,,
"2014-02-23","6.1103",,,,,,,,,
"2014-02-16","6.0993",,,,,,,,,
"2014-02-09","6.1015",,,,,,,,,
"2014-02-02","6.1032",,,,,,,,,
"2014-01-26","6.0984",,,,,,,,,
"2014-01-19","6.0901",,,,,,,,,
"2014-01-12","6.0995",,,,,,,,,
"2014-01-05","6.1047",,,,,,,,,
"2013-12-29","6.1139",,,,,,,,,
"2013-12-22","6.1136",,,,,,,,,
"2013-12-15","6.1093",,,,,,,,,
"2013-12-08","6.1208",,,,,,,,,
"2013-12-01","6.1266",,,,,,,,,
"2013-11-24","6.1249",,,,,,,,,
"2013-11-17","6.1281",,,,,,,,,
"2013-11-10","6.1323",,,,,,,,,
"2013-11-03","6.1279",,,,,,,,,
"2013-10-27","6.1205",,,,,,,,,
"2013-10-20","6.1214",,,,,,,,,
"2013-10-13","6.1303",,,,,,,,,
"2013-10-06","6.1342",,,,,,,,,
"2013-09-29","6.1396",,,,,,,,,
"2013-09-22","6.1396",,,,,,,,,
"2013-09-15","6.1517",,,,,,,,,
"2013-09-08","6.1634",,,,,,,,,
"2013-09-01","6.1587",,,,,,,,,
"2013-08-25","6.1579",,,,,,,,,
"2013-08-18","6.1579",,,,,,,,,
"2013-08-11","6.1605",,,,,,,,,
"2013-08-04","6.1720",,,,,,,,,
"2013-07-28","6.1688",,,,,,,,,
"2013-07-21","6.1721",,,,,,,,,
"2013-07-14","6.1750",,,,,,,,,
"2013-07-07","6.1781",,,,,,,,,
"2013-06-30","6.1856",,,,,,,,,
"2013-06-23","6.1738",,,,,,,,,
"2013-06-16","6.1603",,,,,,,,,
"2013-06-09","6.1695",,,,,,,,,
"2013-06-02","6.1790",,,,,,,,,
"2013-05-26","6.1846",,,,,,,,,
"2013-05-19","6.1989",,,,,,,,,
"2013-05-12","6.1947",,,,,,,,,
"2013-05-05","6.2053",,,,,,,,,
"2013-04-28","6.2239",,,,,,,,,
"2013-04-21","6.2343",,,,,,,,,
"2013-04-14","6.2481",,,,,,,,,
"2013-04-07","6.2613",,,,,,,,,
"2013-03-31","6.2702",,,,,,,,,
"2013-03-24","6.2720",,,,,,,,,
"2013-03-17","6.2618",,,,,,,,,
"2013-03-10","6.2738",,,,,,,,,
"2013-03-03","6.2798",,,,,,,,,
"2013-02-24","6.2825",,,,,,,,,
"2013-02-17","6.2805",,,,,,,,,
"2013-02-10","6.2875",,,,,,,,,
"2013-02-03","6.2851",,,,,,,,,
"2013-01-27","6.2768",,,,,,,,,
"2013-01-20","6.2542",,,,,,,,,
"2013-01-13","6.2759",,,,,,,,,
"2013-01-06","6.2984",,,,,,,,,
"2012-12-30","6.3047",,,,,,,,,
"2012-12-23","6.2910",,,,,,,,,
"2012-12-16","6.2833",,,,,,,,,
"2012-12-09","6.2795",,,,,,,,,
"2012-12-02","6.2655",,,,,,,,,
"2012-11-25","6.2728",,,,,,,,,
"2012-11-18","6.2742",,,,,,,,,
"2012-11-11","6.2838",,,,,,,,,
"2012-11-04","6.2844",,,,,,,,,
"2012-10-28","6.2854",,,,,,,,,
"2012-10-21","6.2901",,,,,,,,,
"2012-10-14","6.3076",,,,,,,,,
"2012-10-07","6.3178",,,,,,,,,
"2012-09-30","6.3265",,,,,,,,,
"2012-09-23","6.3250",,,,,,,,,
"2012-09-16","6.3240",,,,,,,,,
"2012-09-09","6.3294",,,,,,,,,
"2012-09-02","6.3317",,,,,,,,,
"2012-08-26","6.3281",,,,,,,,,
"2012-08-19","6.3315",,,,,,,,,
"2012-08-12","6.3204",,,,,,,,,
"2012-08-05","6.3136",,,,,,,,,
"2012-07-29","6.3237",,,,,,,,,
"2012-07-22","6.3023",,,,,,,,,
"2012-07-15","6.3079",,,,,,,,,
"2012-07-08","6.3055",,,,,,,,,
"2012-07-01","6.3051",,,,,,,,,
"2012-06-24","6.2987",,,,,,,,,
"2012-06-17","6.3080",,,,,,,,,
"2012-06-10","6.3202",,,,,,,,,
"2012-06-03","6.3318",,,,,,,,,
"2012-05-27","6.3199",,,,,,,,,
"2012-05-20","6.3141",,,,,,,,,
"2012-05-13","6.3006",,,,,,,,,
"2012-05-06","6.2934",,,,,,,,,
"2012-04-29","6.3006",,,,,,,,,
"2012-04-22","6.3037",,,,,,,,,
"2012-04-15","6.3033",,,,,,,,,
"2012-04-08","6.3009",,,,,,,,,
"2012-04-01","6.3076",,,,,,,,,
"2012-03-25","6.3100",,,,,,,,,
"2012-03-18","6.3177",,,,,,,,,
"2012-03-11","6.3022",,,,,,,,,
"2012-03-04","6.2881",,,,,,,,,
"2012-02-26","6.2865",,,,,,,,,
"2012-02-19","6.2856",,,,,,,,,
"2012-02-12","6.2815",,,,,,,,,
"2012-02-05","6.2832",,,,,,,,,
"2012-01-29","6.2833",,,,,,,,,
"2012-01-22","6.2935",,,,,,,,,
"2012-01-15","6.3030",,,,,,,,,
"2012-01-08","6.3156",,,,,,,,,
"2012-01-01","6.3440",,,,,,,,,
"2011-12-25","6.3518",,,,,,,,,
"2011-12-18","6.3711",,,,,,,,,
"2011-12-11","6.3321",,,,,,,,,
"2011-12-04","6.3477",,,,,,,,,
"2011-11-27","6.3653",,,,,,,,,
"2011-11-20","6.3414",,,,,,,,,
"2011-11-13","6.3300",,,,,,,,,
"2011-11-06","6.3402",,,,,,,,,
"2011-10-30","6.3503",,,,,,,,,
"2011-10-23","6.3733",,,,,,,,,
"2011-10-16","6.3639",,,,,,,,,
"2011-10-09","6.3654",,,,,,,,,
"2011-10-02","6.3816",,,,,,,,,
"2011-09-25","6.3860",,,,,,,,,
"2011-09-18","6.3699",,,,,,,,,
"2011-09-11","6.3780",,,,,,,,,
"2011-09-04","6.3660",,,,,,,,,
"2011-08-28","6.3720",,,,,,,,,
"2011-08-21","6.3654",,,,,,,,,
"2011-08-14","6.3882",,,,,,,,,
"2011-08-07","6.4190",,,,,,,,,
"2011-07-31","6.4234",,,,,,,,,
"2011-07-24","6.4376",,,,,,,,,
"2011-07-17","6.4534",,,,,,,,,
"2011-07-10","6.4598",,,,,,,,,
"2011-07-03","6.4666",,,,,,,,,
"2011-06-26","6.4609",,,,,,,,,
"2011-06-19","6.4700",,,,,,,,,
"2011-06-12","6.4729",,,,,,,,,
"2011-06-05","6.4757",,,,,,,,,
"2011-05-29","6.4896",,,,,,,,,
"2011-05-22","6.4915",,,,,,,,,
"2011-05-15","6.4919",,,,,,,,,
"2011-05-08","6.4870",,,,,,,,,
"2011-05-01","6.4939",,,,,,,,,
"2011-04-24","6.5015",,,,,,,,,
"2011-04-17","6.5237",,,,,,,,,
"2011-04-10","6.5321",,,,,,,,,
""
"Period Average","6.2592","","","","","","","","",""
"Period Low","6.0775","","","","","","","","",""
"Period High","6.5802","","","","","","","","",""
